Stofnaam	CAS-nummer	EG-nummer	Aquo-code	SIKB-id	Categorie	Compartiment	Norm	Waarde	Eenheid	Normwaardestatus.code	Normwaardestatus.omschrijving	Achtergrondconcentratie.code	Achtergrondconcentratie.omschrijving	Toelichtende voetnoot 1	Norm.code	Norm.omschrijving	Normsubgroup.code	Normsubgroup.omschrijving	Compartiment.code	Compartiment.omschrijving	Compartimentsubgroep.code	Compartimentsubgroep.omschrijving	Grootheid.code	Grootheid.omschrijving	Hoedanigheid.code	Hoedanigheid.omschrijving	Waardebewerkingsmethode.code 	Waardebewerkingsmethode.omschrijving	Geldigheid.begindatum	Geldigheid.einddatum	
2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propaanzuur	13252-13-6	236-236-8	FRD-903	5741	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (opgelost)	118	ng/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Door minister geadviseerde waarde voor het beoordelen van de waterkwaliteit.	JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
5,6,6-tridecafluoro-6-iodo-1,1,1,2,2,3,3,4,4,5-hexaan	355-43-1	206-586-6	PF1IC6a	5195	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,07E-03	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
fluazifop-butyl	69806-50-4	274-125-6	fluazfC4y	3797	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (opgelost)	1,7	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
fluazifop-butyl	69806-50-4	274-125-6	fluazfC4y	3797	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (totaal)	1,7	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
fluazifop-butyl	69806-50-4	274-125-6	fluazfC4y	3797	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MAC-MKN (opgelost)	1,7	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		MAC	Maximaal aanvaardbare concentratie	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	MAX	Maximum			
fluazifop-butyl	69806-50-4	274-125-6	fluazfC4y	3797	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MAC-MKN (totaal)	1,7	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		MAC	Maximaal aanvaardbare concentratie	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
fluometuron	2164-17-2	218-500-4	fluomtrn	3815	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	3	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
fluopicolide	239110-15-7		fluopclde	3816	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (opgelost)	0,71	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
fluopicolide	239110-15-7		fluopclde	3816	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (totaal)	0,71	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
fluopicolide	239110-15-7		fluopclde	3816	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MAC-MKN (opgelost)	0,71	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie		MAC	Maximaal aanvaardbare concentratie	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	MAX	Maximum			
