Stofnaam	CAS-nummer	EG-nummer	Aquo-code	SIKB-id	Categorie	Compartiment	Norm	Waarde	Eenheid	Normwaardestatus.code	Normwaardestatus.omschrijving	Achtergrondconcentratie.code	Achtergrondconcentratie.omschrijving	Toelichtende voetnoot 1	Toelichtende voetnoot 2	Toelichtende voetnoot 3	Toelichtende voetnoot 4	Norm.code	Norm.omschrijving	Normsubgroup.code	Normsubgroup.omschrijving	Compartiment.code	Compartiment.omschrijving	Compartimentsubgroep.code	Compartimentsubgroep.omschrijving	Grootheid.code	Grootheid.omschrijving	Hoedanigheid.code	Hoedanigheid.omschrijving	Waardebewerkingsmethode.code 	Waardebewerkingsmethode.omschrijving	Geldigheid.begindatum	Geldigheid.einddatum	
(1R,4S,5S)-1,2,3,4,5,7,7-heptachloorbicyclo[2.2.1]hept-2-een	2440-02-0		1234577HpClb	5333	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,58E-02	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof is een specifieke isomeer van heptachloornorbornene (CAS: 28680-45-7) de waarde geldt voor de som van alle heptachloornorbornenen.				MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
(pentabroomfenyl)methylacrylaat	59447-55-1	261-767-7	PeBrFyC1yacl	5240	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	8,48E-04	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(3,4-dichloorfenyl)-3-methylureum	3567-62-2	622-767-6	134DClFy3C1y	2817	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(3,4-dichloorfenyl)ureum	2327-02-8	622-620-6	134DClFyurum	2818	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	100	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-chloorfenyl)ureum	140-38-5	205-412-6	14ClFyurum	4942	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	7,2	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)-3-methylureum	34123-57-4	621-315-5	14iC3yFy3C1y	4943	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,3	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)-3-methylureum	34123-57-4	621-315-5	14iC3yFy3C1y	4943	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)ureum	56046-17-4		14iC3yFyurum	4944	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,3	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,1,1-trichloor-2,2-bis(p-iodophenyl)-ethaan	3972-13-2				Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,1,1-trichloorethaan	71-55-6	200-756-3	111TClC2a	4	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	1,09		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
